Semana,IncidenciaS
1,444.6
2,472.6
3,504.4
4,580.6
5,430.5
6, 653.9
7, 521.9
8, 729.0
9, 666.8
10,540.8
11, 434.8
12, 284.5
13, 370.9
14, 311.7
15, 365.2
16,363.8 
17,378.6 
18,357.7
19,310.0 
20,326.9
21,315.1 
22,307.7 
23,320.5 
24,327.3 
25,329.8
26,314.2 
27,350.0 
28,297.3 
29,288.3 
30,273.9
31,254.5 
32,237.3 
33,248.7 
34,262.1 
35,305.8
36,356.6 
37,283.7 
38,377.0 
39,375.4 
40,360.6
41,393.7 
42,399.9 
43,406.9 
44,339.5 
45,414.8
46,396.1 
47,420.1 
48,463.1 
49,492.2 
50,456.6
51,397.8 
52,397.6
