Semana,IncidenciaS
1,495.3
2, 453.7
3, 573.6
4, 591.0
5, 559.6
6, 559.5
7, 649.7
8, 653.3
9, 702.5
10, 648.7
11, 590.2
12, 556.5
13, 552.5
14, 528.2
15, 382.2
16, 440.2
17, 410.1
18, 349.3
19, 367.8
20, 400.6
21, 383.6
22, 381.0
23, 391.1
24, 389.9
25, 354.3
26, 376.7
27, 363.5
28, 362.1
29, 366.2
30, 351.3
31, 332.4
32, 327.0
33, 308.5
34, 304.1
35, 367.8
36, 445.5
37, 437.9
38, 426.3
39, 410.6
40, 368.2
41, 386.9
42, 387.3
43, 426.9
44, 357.9
45, 422.7
46, 457.5
47, 442.8
48, 523.0
49, 521.5
50, 553.0
51, 540.1
52, 556.1
